variable,dtype,n_obs,n_missing,pct_missing,n_unique,sample_values,min,max
tipo_deuda_2,float64,5275,3849,0.7297,3,1.0 | 2.0 | 3.0,1.0,3.0
aquien_deben_2,float64,5275,4867,0.9227,7,5.0 | 3.0 | 6.0 | 7.0 | 1.0,1.0,7.0
aquien_cual_2,object,5275,5166,0.9793,65,PRESTAMO VECINA | FAMILIAR | PRESTAMISTAS | VENDEDOR PUERTA APUESTA | UN FAMILIAR,,
con_quien_2,float64,5275,4257,0.807,11,1.0 | 3.0 | 2.0 | 6.0 | 8.0,1.0,13.0
conquien_cual_2,object,5275,5235,0.9924,35,GASES DEL CARIBE BRILLA | UNIVERSIDAD DEL MAGDALENA | VENTAS DE CALLE A CREDITO | VENDEDOR CALLEJERO | COBRADOR,,
destino1_2,float64,5275,4257,0.807,14,13.0 | 3.0 | 1.0 | 14.0 | 2.0,1.0,14.0
destino2_2,float64,5275,4257,0.807,12,0.0 | 3.0 | 10.0 | 5.0 | 13.0,0.0,13.0
destino3_2,float64,5275,4257,0.807,4,0.0 | 12.0 | 14.0 | 13.0,0.0,14.0
destino4_2,float64,5275,4257,0.807,1,0.0,0.0,0.0
fechai_mes_2,float64,5275,4257,0.807,12,12.0 | 1.0 | 10.0 | 6.0 | 2.0,1.0,12.0
fechai_ano_2,float64,5275,4257,0.807,20,2008.0 | 2010.0 | 2009.0 | 2006.0 | 2007.0,1980.0,9998.0
vr_inicial_2,float64,5275,4257,0.807,164,2000000.0 | 1137000.0 | 2600000.0 | 1400000.0 | 4000000.0,98.0,80000000.0
tasa_interes_2,float64,5275,4257,0.807,86,1.5 | 5.0 | 8.0 | 98.0 | 26.0,0.0,999.0
tasa_period_2,float64,5275,4257,0.807,9,4.0 | 8.0 | 9.0 | 1.0 | 7.0,1.0,9.0
cuota_2,float64,5275,4257,0.807,294,82000.0 | 202000.0 | 283000.0 | 70000.0 | 500000.0,97.0,25000000.0
period_cuota_2,float64,5275,4257,0.807,13,4.0 | 3.0 | 2.0 | 1.0 | 9.0,1.0,99.0
meses_plazo_2,float64,5275,3849,0.7297,55,24.0 | 6.0 | 1.0 | 15.0 | 12.0,1.0,999.0
vr_saldo_2,float64,5275,3849,0.7297,326,656000.0 | 1137000.0 | 60000.0 | 1300000.0 | 3000000.0,97.0,315700000.0
tipo_deuda_3,float64,5275,4749,0.9003,3,1.0 | 2.0 | 3.0,1.0,3.0
aquien_deben_3,float64,5275,5090,0.9649,7,1.0 | 4.0 | 7.0 | 5.0 | 6.0,1.0,7.0
aquien_cual_3,object,5275,5231,0.9917,29,AMIGOS | REVISTAS | SE???ORA Q VENDE MERCANCIA | MUNDO MUJER | CONSTRUCTORA,,
con_quien_3,float64,5275,4934,0.9354,11,7.0 | 2.0 | 1.0 | 3.0 | 8.0,1.0,13.0
conquien_cual_3,object,5275,5265,0.9981,7,VENDEDOR DE ARTICULOS PARA EL HOGAR | LIBRANZA | VENDEDOR AMBULANTE | TIENDA | TENDERO,,
destino1_3,float64,5275,4934,0.9354,13,12.0 | 2.0 | 13.0 | 11.0 | 5.0,1.0,14.0
destino2_3,float64,5275,4934,0.9354,7,0.0 | 5.0 | 1.0 | 13.0 | 2.0,0.0,13.0
destino3_3,float64,5275,4934,0.9354,1,0.0,0.0,0.0
destino4_3,float64,5275,4934,0.9354,1,0.0,0.0,0.0
fechai_mes_3,float64,5275,4934,0.9354,12,3.0 | 2.0 | 9.0 | 4.0 | 12.0,1.0,12.0
fechai_ano_3,float64,5275,4934,0.9354,17,2008.0 | 2010.0 | 2009.0 | 2004.0 | 2005.0,1980.0,9998.0
vr_inicial_3,float64,5275,4934,0.9354,96,2000000.0 | 1000000.0 | 1460000.0 | 392950.0 | 3000000.0,98.0,57000000.0
tasa_interes_3,float64,5275,4934,0.9354,53,0.0 | 24.0 | 8.0 | 98.0 | 10.0,0.0,999.0
tasa_period_3,float64,5275,4934,0.9354,8,9.0 | 8.0 | 7.0 | 4.0 | 1.0,1.0,9.0
cuota_3,float64,5275,4934,0.9354,139,100000.0 | 106000.0 | 160000.0 | 82000.0 | 21369.0,97.0,10000000.0
period_cuota_3,float64,5275,4934,0.9354,11,4.0 | 9.0 | 3.0 | 2.0 | 1.0,1.0,99.0
meses_plazo_3,float64,5275,4749,0.9003,28,24.0 | 8.0 | 18.0 | 12.0 | 5.0,1.0,999.0
vr_saldo_3,float64,5275,4749,0.9003,175,2000000.0 | 800000.0 | 1120000.0 | 1500000.0 | 126000.0,97.0,30000000.0
tipo_deuda_4,float64,5275,5063,0.9598,3,1.0 | 2.0 | 3.0,1.0,3.0
aquien_deben_4,float64,5275,5197,0.9852,7,1.0 | 5.0 | 7.0 | 6.0 | 4.0,1.0,7.0
aquien_cual_4,object,5275,5248,0.9949,22,AMIGOS | FAMILIAR | COOPERATIVA | VENDEDORES PUERTA A PUERTA | PRESTAMISTAS,,
con_quien_4,float64,5275,5141,0.9746,9,7.0 | 8.0 | 9.0 | 1.0 | 2.0,1.0,13.0
conquien_cual_4,object,5275,5267,0.9985,6,COMPRA VENTA | VENDEDOR AMBULANTE | TENDERO | SUZUKI | CORPORACION DIOCESANA,,
destino1_4,float64,5275,5141,0.9746,12,5.0 | 12.0 | 13.0 | 3.0 | 11.0,1.0,14.0
destino2_4,float64,5275,5141,0.9746,4,0.0 | 11.0 | 9.0 | 5.0,0.0,11.0
destino3_4,float64,5275,5141,0.9746,1,0.0,0.0,0.0
destino4_4,float64,5275,5141,0.9746,1,0.0,0.0,0.0
fechai_mes_4,float64,5275,5141,0.9746,12,1.0 | 4.0 | 12.0 | 5.0 | 6.0,1.0,12.0
fechai_ano_4,float64,5275,5141,0.9746,12,2010.0 | 2009.0 | 2006.0 | 2007.0 | 2008.0,1992.0,2010.0
vr_inicial_4,float64,5275,5141,0.9746,63,600000.0 | 1000000.0 | 50000.0 | 2300000.0 | 6000000.0,99.0,70000000.0
tasa_interes_4,float64,5275,5141,0.9746,32,0.0 | 3.0 | 9.0 | 2.8 | 22.0,0.0,999.0
tasa_period_4,float64,5275,5141,0.9746,6,9.0 | 4.0 | 8.0 | 7.0 | 5.0,4.0,9.0
cuota_4,float64,5275,5141,0.9746,75,1000.0 | 30000.0 | 50000.0 | 150000.0 | 161000.0,97.0,55000000.0
period_cuota_4,float64,5275,5141,0.9746,8,10.0 | 4.0 | 9.0 | 1.0 | 2.0,1.0,97.0
meses_plazo_4,float64,5275,5063,0.9598,29,6.0 | 3.0 | 5.0 | 1.0 | 12.0,1.0,999.0
vr_saldo_4,float64,5275,5063,0.9598,95,600000.0 | 1000000.0 | 400000.0 | 150000.0 | 200000.0,97.0,55000000.0
tipo_deuda_5,float64,5275,5197,0.9852,3,2.0 | 3.0 | 1.0,1.0,3.0
aquien_deben_5,float64,5275,5251,0.9955,6,1.0 | 7.0 | 5.0 | 3.0 | 6.0,1.0,7.0
aquien_cual_5,object,5275,5266,0.9983,9,IMPUESTO PREDIAL | VENTAS POR CATALOGO AMELISSA | TARJETA DE CREDITO | PRESTAMO GOTA A GOTA | ODONTOLOGIA,,
con_quien_5,float64,5275,5221,0.9898,8,3.0 | 2.0 | 1.0 | 7.0 | 13.0,1.0,13.0
conquien_cual_5,object,5275,5274,0.9998,1,TIENDA DEL BARRIO- VALES,,
destino1_5,float64,5275,5221,0.9898,12,7.0 | 5.0 | 14.0 | 9.0 | 1.0,1.0,14.0
destino2_5,float64,5275,5221,0.9898,2,0.0 | 12.0,0.0,12.0
destino3_5,float64,5275,5221,0.9898,1,0.0,0.0,0.0
destino4_5,float64,5275,5221,0.9898,1,0.0,0.0,0.0
fechai_mes_5,float64,5275,5221,0.9898,11,11.0 | 2.0 | 12.0 | 5.0 | 4.0,1.0,12.0
fechai_ano_5,float64,5275,5221,0.9898,7,2009.0 | 2008.0 | 2010.0 | 2005.0 | 2006.0,2002.0,2010.0
vr_inicial_5,float64,5275,5221,0.9898,31,1350000.0 | 800000.0 | 1800000.0 | 100000.0 | 30000.0,9000.0,65000000.0
tasa_interes_5,float64,5275,5221,0.9898,23,0.0 | 2.5 | 36.0 | 1.0 | 1.73,0.0,999.0
tasa_period_5,float64,5275,5221,0.9898,5,9.0 | 4.0 | 8.0 | 1.0 | 98.0,1.0,98.0
cuota_5,float64,5275,5221,0.9898,41,37000.0 | 450000.0 | 96000.0 | 1000.0 | 30000.0,97.0,6000000.0
period_cuota_5,float64,5275,5221,0.9898,7,4.0 | 1.0 | 9.0 | 3.0 | 10.0,1.0,10.0
meses_plazo_5,float64,5275,5197,0.9852,19,19.0 | 998.0 | 1.0 | 48.0 | 36.0,1.0,999.0
vr_saldo_5,float64,5275,5197,0.9852,48,1440000.0 | 2300000.0 | 80000.0 | 1200000.0 | 7000000.0,98.0,65000000.0
tipo_deuda_6,float64,5275,5242,0.9937,3,2.0 | 1.0 | 3.0,1.0,3.0
aquien_deben_6,float64,5275,5265,0.9981,5,6.0 | 1.0 | 7.0 | 5.0 | 4.0,1.0,7.0
aquien_cual_6,object,5275,5272,0.9994,3,LOTERIA DEL META | ESIKA | IMPUESTO PREDIAL,,
con_quien_6,float64,5275,5252,0.9956,5,3.0 | 1.0 | 7.0 | 8.0 | 6.0,1.0,8.0
destino1_6,float64,5275,5252,0.9956,8,7.0 | 5.0 | 14.0 | 9.0 | 12.0,2.0,14.0
destino2_6,float64,5275,5252,0.9956,1,0.0,0.0,0.0
destino3_6,float64,5275,5252,0.9956,1,0.0,0.0,0.0
destino4_6,float64,5275,5252,0.9956,1,0.0,0.0,0.0
fechai_mes_6,float64,5275,5252,0.9956,8,4.0 | 12.0 | 6.0 | 7.0 | 5.0,1.0,12.0
fechai_ano_6,float64,5275,5252,0.9956,7,2008.0 | 2007.0 | 2001.0 | 2009.0 | 2010.0,2001.0,9998.0
vr_inicial_6,float64,5275,5252,0.9956,17,70000.0 | 1000000.0 | 500000.0 | 900000.0 | 200000.0,50000.0,27000000.0
tasa_interes_6,float64,5275,5252,0.9956,17,0.0 | 24.2 | 1.73 | 10.0 | 3.5,0.0,999.0
tasa_period_6,float64,5275,5252,0.9956,5,9.0 | 8.0 | 4.0 | 3.0 | 1.0,1.0,9.0
cuota_6,float64,5275,5252,0.9956,17,20000.0 | 50000.0 | 247000.0 | 97.0 | 875000.0,97.0,3100000.0
period_cuota_6,float64,5275,5252,0.9956,4,4.0 | 9.0 | 1.0 | 10.0,1.0,10.0
meses_plazo_6,float64,5275,5242,0.9937,11,2.0 | 36.0 | 997.0 | 24.0 | 6.0,1.0,998.0
vr_saldo_6,float64,5275,5242,0.9937,25,400000.0 | 300000.0 | 900000.0 | 200000.0 | 600000.0,98.0,25000000.0
tipo_deuda_7,float64,5275,5260,0.9972,2,1.0 | 2.0,1.0,2.0
aquien_deben_7,float64,5275,5273,0.9996,2,7.0 | 1.0,1.0,7.0
aquien_cual_7,object,5275,5274,0.9998,1,EL QUE LE VENDIO LA CASA,,
con_quien_7,float64,5275,5262,0.9975,5,3.0 | 7.0 | 1.0 | 8.0 | 6.0,1.0,8.0
destino1_7,float64,5275,5262,0.9975,7,11.0 | 5.0 | 12.0 | 9.0 | 13.0,2.0,14.0
destino2_7,float64,5275,5262,0.9975,2,0.0 | 11.0,0.0,11.0
destino3_7,float64,5275,5262,0.9975,1,0.0,0.0,0.0
destino4_7,float64,5275,5262,0.9975,1,0.0,0.0,0.0
fechai_mes_7,float64,5275,5262,0.9975,7,5.0 | 6.0 | 12.0 | 1.0 | 8.0,1.0,12.0
fechai_ano_7,float64,5275,5262,0.9975,5,2009.0 | 2010.0 | 2007.0 | 2008.0 | 2005.0,2005.0,2010.0
vr_inicial_7,float64,5275,5262,0.9975,10,800000.0 | 400000.0 | 17000000.0 | 3000000.0 | 600000.0,5000.0,17000000.0
tasa_interes_7,float64,5275,5262,0.9975,8,24.0 | 0.0 | 1.73 | 98.0 | 20.0,0.0,98.0
tasa_period_7,float64,5275,5262,0.9975,3,8.0 | 9.0 | 4.0,4.0,9.0
cuota_7,float64,5275,5262,0.9975,13,52000.0 | 97.0 | 200000.0 | 480000.0 | 60000.0,97.0,500000.0
period_cuota_7,float64,5275,5262,0.9975,4,4.0 | 10.0 | 1.0 | 9.0,1.0,10.0
meses_plazo_7,float64,5275,5260,0.9972,11,36.0 | 997.0 | 24.0 | 60.0 | 2.0,1.0,997.0
vr_saldo_7,float64,5275,5260,0.9972,12,600000.0 | 400000.0 | 17800000.0 | 3000000.0 | 500000.0,98.0,17800000.0
tipo_deuda_8,float64,5275,5270,0.9991,2,3.0 | 1.0,1.0,3.0
aquien_deben_8,float64,5275,5273,0.9996,2,6.0 | 7.0,6.0,7.0
aquien_cual_8,object,5275,5274,0.9998,1,REVISTA NOVAVENTA,,
con_quien_8,float64,5275,5272,0.9994,3,7.0 | 8.0 | 1.0,1.0,8.0
destino1_8,float64,5275,5272,0.9994,3,2.0 | 12.0 | 5.0,2.0,12.0
destino2_8,float64,5275,5272,0.9994,1,0.0,0.0,0.0
destino3_8,float64,5275,5272,0.9994,1,0.0,0.0,0.0
destino4_8,float64,5275,5272,0.9994,1,0.0,0.0,0.0
fechai_mes_8,float64,5275,5272,0.9994,2,2.0 | 5.0,2.0,5.0
fechai_ano_8,float64,5275,5272,0.9994,2,2010.0 | 2005.0,2005.0,2010.0
vr_inicial_8,float64,5275,5272,0.9994,2,400000.0 | 300000.0,300000.0,400000.0
tasa_interes_8,float64,5275,5272,0.9994,3,0.0 | 40.0 | 98.0,0.0,98.0
tasa_period_8,float64,5275,5272,0.9994,3,9.0 | 1.0 | 4.0,1.0,9.0
cuota_8,float64,5275,5272,0.9994,3,400000.0 | 12000.0 | 30000.0,12000.0,400000.0
period_cuota_8,float64,5275,5272,0.9994,3,10.0 | 1.0 | 4.0,1.0,10.0
meses_plazo_8,float64,5275,5270,0.9991,4,3.0 | 1.0 | 98.0 | 48.0,1.0,98.0
vr_saldo_8,float64,5275,5270,0.9991,5,180000.0 | 400000.0 | 300000.0 | 240000.0 | 600000.0,180000.0,600000.0
