variable,dtype,n_obs,n_missing,pct_missing,n_unique,sample_values,min,max
tasa_interes_7,float64,4578,4576,0.9996,2,2.0 | 0.0,0.0,2.0
tasa_period_7,float64,4578,4577,0.9998,1,4.0,4.0,4.0
cuota_7,float64,4578,4577,0.9998,1,500000.0,500000.0,500000.0
period_cuota_7,float64,4578,4577,0.9998,1,9.0,9.0,9.0
meses_plazo_7,float64,4578,4576,0.9996,2,7.0 | 12.0,7.0,12.0
vr_saldo_7,float64,4578,4576,0.9996,2,500000.0 | 1200000.0,500000.0,1200000.0
tipo_deuda_8,float64,4578,4576,0.9996,2,1.0 | 3.0,1.0,3.0
aquien_deben_8,float64,4578,4577,0.9998,1,7.0,7.0,7.0
aquien_cual_8,object,4578,4577,0.9998,1,LEONARDO HERNANDEZ,,
con_quien_8,float64,4578,4577,0.9998,1,7.0,7.0,7.0
destino1_8,float64,4578,4577,0.9998,1,20.0,20.0,20.0
destino2_8,float64,4578,4578,1.0,0,,,
destino3_8,float64,4578,4578,1.0,0,,,
destino4_8,float64,4578,4578,1.0,0,,,
fechai_mes_8,float64,4578,4577,0.9998,1,7.0,7.0,7.0
fechai_ano_8,float64,4578,4577,0.9998,1,2009.0,2009.0,2009.0
vr_inicial_8,float64,4578,4577,0.9998,1,800000.0,800000.0,800000.0
tasa_interes_8,float64,4578,4576,0.9996,2,2.5 | 0.0,0.0,2.5
tasa_period_8,float64,4578,4577,0.9998,1,4.0,4.0,4.0
cuota_8,float64,4578,4577,0.9998,1,800000.0,800000.0,800000.0
period_cuota_8,float64,4578,4577,0.9998,1,10.0,10.0,10.0
meses_plazo_8,float64,4578,4576,0.9996,2,8.0 | 6.0,6.0,8.0
vr_saldo_8,float64,4578,4576,0.9996,1,800000.0,800000.0,800000.0
act_dinero,int64,4578,0,0.0,2,2 | 1,1.0,2.0
act_dinero_vr,float64,4578,4345,0.9491,51,10000000.0 | 99.0 | 13000000.0 | 600000.0 | 100000.0,97.0,20000000.0
act_fondos,int64,4578,0,0.0,2,2 | 1,1.0,2.0
act_fondos_vr,float64,4578,4538,0.9913,16,800000.0 | 500000.0 | 98.0 | 5000000.0 | 180000.0,98.0,40000000.0
act_cesantias,int64,4578,0,0.0,2,2 | 1,1.0,2.0
act_cesantias_vr,float64,4578,4485,0.9797,34,1000000.0 | 515000.0 | 1500000.0 | 320000.0 | 2000000.0,97.0,60000000.0
act_bonos_gob,int64,4578,0,0.0,2,2 | 1,1.0,2.0
act_bonos_gob_vr,float64,4578,4476,0.9777,26,150000.0 | 100000.0 | 30000.0 | 80000.0 | 160000.0,12000.0,300000.0
act_bonos_emp,int64,4578,0,0.0,2,2 | 1,1.0,2.0
act_bonos_emp_vr,float64,4578,4569,0.998,8,200000.0 | 9000000.0 | 4000000.0 | 2700000.0 | 1400000.0,200000.0,9000000.0
act_inversiones,int64,4578,0,0.0,2,2 | 1,1.0,2.0
act_inversiones_vr,float64,4578,4574,0.9991,4,1400000.0 | 2000000.0 | 1000000.0 | 4000000.0,1000000.0,4000000.0
act_roscas,int64,4578,0,0.0,2,2 | 1,1.0,2.0
act_roscas_vr,float64,4578,4574,0.9991,4,1400000.0 | 2000000.0 | 1000000.0 | 4000000.0,1000000.0,4000000.0
act_dineroprestado,int64,4578,0,0.0,2,2 | 1,1.0,2.0
act_dineroprestado_vr,float64,4578,4536,0.9908,23,9000000.0 | 1200000.0 | 5000000.0 | 1000000.0 | 500000.0,98.0,10000000.0
act_segvida,int64,4578,0,0.0,2,2 | 1,1.0,2.0
act_segvida_vr,float64,4578,4551,0.9941,16,10000000.0 | 120000000.0 | 40000000.0 | 12000000.0 | 100000000.0,98.0,120000000.0
act_segcosechas,int64,4578,0,0.0,2,2 | 1,1.0,2.0
act_segcosechas_vr,float64,4578,4573,0.9989,3,5000000.0 | 300000.0 | 98.0,98.0,5000000.0
act_segveh,int64,4578,0,0.0,2,2 | 1,1.0,2.0
act_segveh_vr,float64,4578,4520,0.9873,29,6000000.0 | 1000000.0 | 14000000.0 | 2000000.0 | 4000000.0,98.0,47000000.0
act_segviv,int64,4578,0,0.0,2,2 | 1,1.0,2.0
act_segviv_vr,float64,4578,4573,0.9989,5,40000000.0 | 130000000.0 | 300000000.0 | 28000000.0 | 30000000.0,28000000.0,300000000.0
act_segmaq,int64,4578,0,0.0,1,2,2.0,2.0
act_segmaq_vr,float64,4578,4578,1.0,0,,,
act_segotros,int64,4578,0,0.0,2,2 | 1,1.0,2.0
act_segotros_vr,float64,4578,4526,0.9886,23,5000000.0 | 1200000.0 | 7000000.0 | 200000.0 | 15000000.0,98.0,43000000.0
choquec_1,float64,4578,3431,0.7495,16,27.0 | 33.0 | 19.0 | 22.0 | 20.0,19.0,34.0
n_vecesc_1,float64,4578,3431,0.7495,12,1.0 | 2.0 | 5.0 | 3.0 | 4.0,1.0,33.0
hizo1c_1,float64,4578,3431,0.7495,17,22.0 | 5.0 | 4.0 | 20.0 | 1.0,1.0,22.0
hizo2c_1,float64,4578,4517,0.9867,8,13.0 | 17.0 | 10.0 | 5.0 | 21.0,2.0,21.0
afectaron_hogarc_1,float64,4578,3431,0.7495,2,2.0 | 1.0,1.0,2.0
