variable,UHogar,RHogar,UPersonas,RPersonas
credito_proveedor,1,1,0,0
crlider_org1,0,0,1,1
crlider_org2,0,0,1,1
crlider_org3,0,0,1,1
crlider_org4,0,0,1,1
crlider_org5,0,0,1,1
cuando_monto,0,0,1,0
cuando_monto_edad,0,0,1,0
cuantas_unionesm,0,0,1,1
cuidado_personal,0,0,1,1
cuota_1,1,1,0,0
cuota_10,1,0,0,0
cuota_14,1,0,0,0
cuota_2,1,1,0,0
cuota_3,1,1,0,0
cuota_4,1,1,0,0
cuota_5,1,1,0,0
cuota_6,1,1,0,0
cuota_7,1,1,0,0
cuota_8,1,1,0,0
cuota_9,1,0,0,0
dcto_viv_cual,1,0,0,0
dcto_vivienda,1,0,0,0
dejo_trabajo,0,0,1,0
depresion_m,0,0,1,1
depresion_p,0,0,1,1
des_oficio2_ta,0,0,1,0
des_rama1_ta,0,0,1,0
des_rama_trabajaba,0,0,1,0
descrip_oficio,0,0,1,0
descrip_rama,0,0,1,1
descripcion_ciiu,0,0,1,0
descripcion_ciiu_2digitos,0,0,1,0
descripcion_cno,0,0,1,0
descripcion_cno_2digitos,0,0,1,0
desde_ano_1,0,0,1,0
desde_ano_2,0,0,1,0
desde_ano_3,0,0,1,0
desde_ano_4,0,0,1,0
desde_ano_5,0,0,1,0
desde_edad_1,0,0,1,0
desde_edad_2,0,0,1,0
desde_edad_3,0,0,1,0
desde_edad_4,0,0,1,0
desde_edad_5,0,0,1,0
desde_mes_1,0,0,1,0
desde_mes_2,0,0,1,0
desde_mes_3,0,0,1,0
desde_mes_4,0,0,1,0
desde_mes_5,0,0,1,0
desempleado,0,0,1,0
destino1_1,1,1,0,0
destino1_10,1,0,0,0
destino1_14,1,0,0,0
destino1_2,1,1,0,0
destino1_3,1,1,0,0
destino1_4,1,1,0,0
destino1_5,1,1,0,0
destino1_6,1,1,0,0
destino1_7,1,1,0,0
destino1_8,1,1,0,0
destino1_9,1,0,0,0
destino2_1,1,1,0,0
destino2_10,1,0,0,0
destino2_14,1,0,0,0
destino2_2,1,1,0,0
destino2_3,1,1,0,0
destino2_4,1,1,0,0
destino2_5,1,1,0,0
destino2_6,1,1,0,0
destino2_7,1,1,0,0
destino2_8,1,1,0,0
destino2_9,1,0,0,0
destino3_1,1,1,0,0
destino3_10,1,0,0,0
destino3_14,1,0,0,0
destino3_2,1,1,0,0
destino3_3,1,1,0,0
destino3_4,1,1,0,0
destino3_5,1,1,0,0
destino3_6,1,1,0,0
destino3_7,1,1,0,0
destino3_8,1,1,0,0
destino3_9,1,0,0,0
destino4_1,1,1,0,0
destino4_10,1,0,0,0
destino4_14,1,0,0,0
destino4_2,1,1,0,0
destino4_3,1,1,0,0
destino4_4,1,1,0,0
destino4_5,1,1,0,0
destino4_6,1,1,0,0
destino4_7,1,1,0,0
destino4_8,1,1,0,0
destino4_9,1,0,0,0
diabetes_m,0,0,1,1
diabetes_p,0,0,1,1
dias_noasistio,0,0,1,1
dif_aprender,0,0,1,1
