variable,dtype,n_obs,n_missing,pct_missing,n_unique,sample_values,min,max
crlider_org5,float64,22179,22175,0.9998,2,1.0 | 2.0,1.0,2.0
proyecto,object,22179,21564,0.9723,10,"Apoyo a los estudiantes de colegios oficiales (transporte, ��tiles, subsidios por asistencia, etc.) | Alimentaci��n escolar | Comedores comunitarios | Misi��n Bogot�� | Salud a su casa",,
cod_programa_1,float64,22179,21564,0.9723,10,1.0 | 3.0 | 4.0 | 8.0 | 2.0,1.0,10.0
beneficiario_1,float64,22179,21564,0.9723,2,1.0 | 2.0,1.0,2.0
desde_edad_1,float64,22179,21661,0.9766,47,3.0 | 10.0 | 0.0 | 12.0 | 9.0,0.0,77.0
desde_mes_1,float64,22179,22142,0.9983,8,6.0 | 3.0 | 2.0 | 1.0 | 11.0,1.0,12.0
desde_ano_1,float64,22179,22142,0.9983,11,2009.0 | 2010.0 | 1995.0 | 2005.0 | 2008.0,1982.0,2010.0
benef_antes_1,float64,22179,22082,0.9956,1,1.0,1.0,1.0
benef_antesm_1,float64,22179,22082,0.9956,26,3.0 | 2.0 | 12.0 | 11.0 | 36.0,0.0,99.0
cod_programa_2,float64,22179,21970,0.9906,9,5.0 | 9.0 | 3.0 | 2.0 | 6.0,2.0,10.0
beneficiario_2,float64,22179,21970,0.9906,2,1.0 | 2.0,1.0,2.0
desde_edad_2,float64,22179,22002,0.992,24,0.0 | 40.0 | 1.0 | 2.0 | 22.0,0.0,50.0
desde_mes_2,float64,22179,22172,0.9997,4,4.0 | 10.0 | 2.0 | 6.0,2.0,10.0
desde_ano_2,float64,22179,22172,0.9997,5,1998.0 | 2009.0 | 2004.0 | 2007.0 | 2010.0,1998.0,2010.0
benef_antes_2,float64,22179,22147,0.9986,1,1.0,1.0,1.0
benef_antesm_2,float64,22179,22147,0.9986,17,18.0 | 6.0 | 2.0 | 24.0 | 5.0,0.0,98.0
cod_programa_3,float64,22179,22109,0.9968,6,6.0 | 3.0 | 9.0 | 5.0 | 10.0,3.0,10.0
beneficiario_3,float64,22179,22109,0.9968,2,1.0 | 2.0,1.0,2.0
