columna,cobertura_ola1,cobertura_ola2,cobertura_ola3,clasificacion
puntuaciondirecta,0.6960773035775911,0.4945107858243451,0.9753011129745388,CANDIDATO_BENCHMARK
cronologica_dia,0.9658345795467618,0.6406972265023112,0.9753011129745388,CANDIDATO_BENCHMARK
cronologica_mes,0.9658345795467618,0.6406972265023112,0.9753011129745388,CANDIDATO_BENCHMARK
cronologica_ano,0.9658345795467618,0.8154853620955316,0.9753011129745388,CANDIDATO_BENCHMARK
tvip_invalido,0.0055216841136546,0.0030816640986132,0.0,EXCLUIDA_CASI_VACIA
principal_cuidador,0.1986655930058667,0.0,0.0,EXCLUIDA_NO_EN_OLA2
parentesco_cuidador,0.1074427700448636,0.0,0.0,EXCLUIDA_NO_EN_OLA2
nivel_edu_cuidador,0.1841711722075233,0.0,0.0,EXCLUIDA_NO_EN_OLA2
grado_edu_cuidador,0.1817554354077993,0.0,0.0,EXCLUIDA_NO_EN_OLA2
parent_inform,0.0,0.9981702619414484,1.0,EXCLUIDA_NO_EN_OLA1
inform_orden,0.0,0.9981702619414484,0.9998475377344108,EXCLUIDA_NO_EN_OLA1
ano_edad_padre,0.0,0.3614214175654853,0.366519286476597,EXCLUIDA_NO_EN_OLA1
edad_padre,0.0,0.30961093990755,0.2918127763378564,EXCLUIDA_NO_EN_OLA1
ano_edad_madre,0.0,0.0944722650231124,0.1018447934136301,EXCLUIDA_NO_EN_OLA1
edad_madre,0.0,0.0828197226502311,0.0811099252934898,EXCLUIDA_NO_EN_OLA1
cuiaten_guarderia,0.0,0.1442604006163328,0.0,EXCLUIDA_NO_EN_OLA1
alim_guarderia,0.0,0.1442604006163328,0.0,EXCLUIDA_NO_EN_OLA1
quien_lee,0.0,0.3666217257318952,0.2700106723585913,EXCLUIDA_NO_EN_OLA1
freq_lee,0.0,0.2557781201848998,0.1994206433907608,"CANDIDATO_BENCHMARK (rescatada, renombrada entre olas, 2026-08-09)"
quien_conversa,0.0,0.3666217257318952,0.0,EXCLUIDA_NO_EN_OLA1
freq_conversa,0.0,0.3590138674884437,0.0,"CANDIDATO_BENCHMARK (rescatada, renombrada entre olas, 2026-08-09)"
quien_juega_dentro,0.0,0.3666217257318952,0.0,EXCLUIDA_NO_EN_OLA1
freq_juegadentro,0.0,0.3559322033898305,0.0,"CANDIDATO_BENCHMARK (rescatada, renombrada entre olas, 2026-08-09)"
quien_juega_fuera,0.0,0.3666217257318952,0.0,EXCLUIDA_NO_EN_OLA1
freq_juegafuera,0.0,0.2426810477657935,0.0,"CANDIDATO_BENCHMARK (rescatada, renombrada entre olas, 2026-08-09)"
quien_vetv,0.0,0.3666217257318952,0.2912029272754993,EXCLUIDA_NO_EN_OLA1
freq_vetv,0.0,0.3026771956856702,0.0,EXCLUIDA_NO_EN_OLA1
quien_ensena,0.0,0.3666217257318952,0.0,EXCLUIDA_NO_EN_OLA1
freq_ensena,0.0,0.2908320493066256,0.0,"CANDIDATO_BENCHMARK (rescatada, renombrada entre olas, 2026-08-09)"
mira_freq,0.0,0.2665639445300462,1.0,EXCLUIDA_NO_EN_OLA1
excusa_freq,0.0,0.2665639445300462,1.0,EXCLUIDA_NO_EN_OLA1
responde_freq,0.0,0.2665639445300462,1.0,EXCLUIDA_NO_EN_OLA1
ignora_nino,0.0,0.3155816640986132,1.0,EXCLUIDA_NO_EN_OLA1
grita_nino,0.0,0.3155816640986132,1.0,EXCLUIDA_NO_EN_OLA1
sacude_nino,0.0,0.3155816640986132,1.0,EXCLUIDA_NO_EN_OLA1
promete_nino,0.0,0.3155816640986132,1.0,EXCLUIDA_NO_EN_OLA1
explica_nino,0.0,0.3155816640986132,1.0,EXCLUIDA_NO_EN_OLA1
castiga_nino,0.0,0.3155816640986132,0.0,EXCLUIDA_NO_EN_OLA1
carne_vacunas,0.0,0.3668143297380585,0.0,EXCLUIDA_NO_EN_OLA1
tiene_vop,0.0,0.3666217257318952,0.0,EXCLUIDA_NO_EN_OLA1
tiene_penta,0.0,0.3666217257318952,0.0,EXCLUIDA_NO_EN_OLA1
tiene_dtf,0.0,0.0260015408320493,0.0,EXCLUIDA_NO_EN_OLA1
tiene_hepa,0.0,0.0260015408320493,0.0,EXCLUIDA_NO_EN_OLA1
reporte_peso,0.0,0.2910246533127889,0.0,EXCLUIDA_NO_EN_OLA1
pecho_mesdia,0.0,0.2584745762711864,0.0,EXCLUIDA_NO_EN_OLA1
tiempo_pecho,0.0,0.2584745762711864,0.0,EXCLUIDA_NO_EN_OLA1
materna_mesdia,0.0,0.3495762711864407,0.0,EXCLUIDA_NO_EN_OLA1
tiempo_materna,0.0,0.3336864406779661,0.0,EXCLUIDA_NO_EN_OLA1
t_dejolactar,0.0,0.3495762711864407,0.0,EXCLUIDA_NO_EN_OLA1
rz_dejo_lactar,0.0,0.1256741140215716,0.0,EXCLUIDA_NO_EN_OLA1
dejo_lactar_cual,0.0,0.997977657935285,0.0,EXCLUIDA_NO_EN_OLA1
madre_biologica,0.0,0.3666217257318952,0.0,EXCLUIDA_NO_EN_OLA1
salud_gestacion,0.0,0.0407357473035439,0.0,EXCLUIDA_NO_EN_OLA1
vitaminas,0.0,0.0398690292758089,0.0,EXCLUIDA_NO_EN_OLA1
adq_eps,0.0,0.035824345146379,0.0,EXCLUIDA_NO_EN_OLA1
adq_prg_gob,0.0,0.035824345146379,0.0,EXCLUIDA_NO_EN_OLA1
adq_icbf,0.0,0.035824345146379,0.0,EXCLUIDA_NO_EN_OLA1
adq_ong,0.0,0.035824345146379,0.0,EXCLUIDA_NO_EN_OLA1
adq_cpropia,0.0,0.035824345146379,0.0,EXCLUIDA_NO_EN_OLA1
curso_sicoprofilactico,0.0,0.0405431432973805,0.0,EXCLUIDA_NO_EN_OLA1
curso_gimnasia,0.0,0.0405431432973805,0.0,EXCLUIDA_NO_EN_OLA1
curso_yoga,0.0,0.0405431432973805,0.0,EXCLUIDA_NO_EN_OLA1
curso_fami,0.0,0.0405431432973805,0.0,EXCLUIDA_NO_EN_OLA1
curso_otro,0.0,0.0405431432973805,0.0,EXCLUIDA_NO_EN_OLA1
curso_otro_cual,0.0,0.997977657935285,0.0,EXCLUIDA_NO_EN_OLA1
control_prenatal,0.0,0.0814714946070878,0.0,EXCLUIDA_NO_EN_OLA1
control_veces,0.0,0.0772342064714946,0.0,EXCLUIDA_NO_EN_OLA1
cuidado_bebe,0.0,0.0806047765793528,0.0,EXCLUIDA_NO_EN_OLA1
quien_cuidado,0.0,0.0535439137134052,0.0,EXCLUIDA_NO_EN_OLA1
alimenta_bebe,0.0,0.0806047765793528,0.0,EXCLUIDA_NO_EN_OLA1
quien_alimenta,0.0,0.0583590138674884,0.0,EXCLUIDA_NO_EN_OLA1
masaje_bebe,0.0,0.0806047765793528,0.0,EXCLUIDA_NO_EN_OLA1
quien_masaje,0.0,0.0464175654853621,0.0,EXCLUIDA_NO_EN_OLA1
salud_bebe,0.0,0.0806047765793528,0.0,EXCLUIDA_NO_EN_OLA1
quien_salud,0.0,0.0633667180277349,0.0,EXCLUIDA_NO_EN_OLA1
come_frutas,0.0,0.949248844375963,1.0,EXCLUIDA_NO_EN_OLA1
razon_nofrutas,0.0,0.2535631741140216,0.3736850129592926,EXCLUIDA_NO_EN_OLA1
nofrutas_cual,0.0,0.997977657935285,1.0,EXCLUIDA_NO_EN_OLA1
come_verduras,0.0,0.949248844375963,1.0,EXCLUIDA_NO_EN_OLA1
razon_noverduras,0.0,0.4451078582434514,0.6095441378258881,EXCLUIDA_NO_EN_OLA1
noverduras_cual,0.0,0.997977657935285,1.0,EXCLUIDA_NO_EN_OLA1
come_carnes,0.0,0.949248844375963,1.0,EXCLUIDA_NO_EN_OLA1
razon_nocarnes,0.0,0.3651771956856702,0.439701173959445,EXCLUIDA_NO_EN_OLA1
nocarnes_cual,0.0,0.997977657935285,1.0,EXCLUIDA_NO_EN_OLA1
toma_leche,0.0,0.949248844375963,1.0,EXCLUIDA_NO_EN_OLA1
razon_noleche,0.0,0.2192796610169491,0.3669766732733648,EXCLUIDA_NO_EN_OLA1
noleche_cual,0.0,0.997977657935285,1.0,EXCLUIDA_NO_EN_OLA1
come_paquete,0.0,0.949248844375963,1.0,EXCLUIDA_NO_EN_OLA1
toma_suplemento,0.0,0.949248844375963,1.0,EXCLUIDA_NO_EN_OLA1
lugar_alimenta,0.0,0.949248844375963,1.0,EXCLUIDA_NO_EN_OLA1
alimenta_otro_cual,0.0,0.997977657935285,1.0,EXCLUIDA_NO_EN_OLA1
diarrea,0.0,0.3645030816640986,0.0,EXCLUIDA_NO_EN_OLA1
dias_diarrea,0.0,0.046995377503852,0.0,EXCLUIDA_NO_EN_OLA1
moco_sangre,0.0,0.046995377503852,0.0,EXCLUIDA_NO_EN_OLA1
piel_seca,0.0,0.046995377503852,0.0,EXCLUIDA_NO_EN_OLA1
ojos_hundidos,0.0,0.046995377503852,0.0,EXCLUIDA_NO_EN_OLA1
mollera_hundida,0.0,0.046995377503852,0.0,EXCLUIDA_NO_EN_OLA1
labio_seco,0.0,0.046995377503852,0.0,EXCLUIDA_NO_EN_OLA1
debilidad,0.0,0.046995377503852,0.0,EXCLUIDA_NO_EN_OLA1
vomito,0.0,0.046995377503852,0.0,EXCLUIDA_NO_EN_OLA1
fiebre,0.0,0.3645030816640986,0.0,EXCLUIDA_NO_EN_OLA1
tos,0.0,0.3645030816640986,0.0,EXCLUIDA_NO_EN_OLA1
nariz_tapada,0.0,0.3645030816640986,0.0,EXCLUIDA_NO_EN_OLA1
dolor_garganta,0.0,0.3645030816640986,0.0,EXCLUIDA_NO_EN_OLA1
ronquera,0.0,0.3645030816640986,0.0,EXCLUIDA_NO_EN_OLA1
dif_tragar,0.0,0.3645030816640986,0.0,EXCLUIDA_NO_EN_OLA1
dolor_oido,0.0,0.3645030816640986,0.0,EXCLUIDA_NO_EN_OLA1
resp_rapida,0.0,0.3645030816640986,0.0,EXCLUIDA_NO_EN_OLA1
labio_azul,0.0,0.3645030816640986,0.0,EXCLUIDA_NO_EN_OLA1
hund_costilla,0.0,0.3645030816640986,0.0,EXCLUIDA_NO_EN_OLA1
vr_pagaron_sem,0.0,0.0029853620955315,0.0060984906235706,EXCLUIDA_CASI_VACIA
descrip_oficio,0.0,0.997977657935285,1.0,EXCLUIDA_NO_EN_OLA1
trabajo_pagan,0.0,0.0109784283513097,0.0144839152309803,EXCLUIDA_NO_EN_OLA1
ano_asq,0.0,0.3194337442218798,0.0,EXCLUIDA_NO_EN_OLA1
mes_asq,0.0,0.3194337442218798,0.0,EXCLUIDA_NO_EN_OLA1
dia_asq,0.0,0.3194337442218798,0.0,EXCLUIDA_NO_EN_OLA1
alterado3_12,0.0,0.0416987673343605,0.0,EXCLUIDA_NO_EN_OLA1
se_rie3_12,0.0,0.0424691833590138,0.0,EXCLUIDA_NO_EN_OLA1
abracen3_12,0.0,0.0424691833590138,0.0,EXCLUIDA_NO_EN_OLA1
rigido3_12,0.0,0.0424691833590138,0.0,EXCLUIDA_NO_EN_OLA1
escucha3_12,0.0,0.0424691833590138,0.0,EXCLUIDA_NO_EN_OLA1
avisa3_12,0.0,0.0424691833590138,0.0,EXCLUIDA_NO_EN_OLA1
gusta_ver3_12,0.0,0.0424691833590138,0.0,EXCLUIDA_NO_EN_OLA1
se_calma3_12,0.0,0.0416987673343605,0.0,EXCLUIDA_NO_EN_OLA1
llora3_12,0.0,0.0416987673343605,0.0,EXCLUIDA_NO_EN_OLA1
relajado3_12,0.0,0.0416987673343605,0.0,EXCLUIDA_NO_EN_OLA1
dif_chupar3_12,0.0,0.0416987673343605,0.0,EXCLUIDA_NO_EN_OLA1
comer3_12,0.0,0.0416987673343605,0.0,EXCLUIDA_NO_EN_OLA1
disfruta3_12,0.0,0.0416987673343605,0.0,EXCLUIDA_NO_EN_OLA1
probl_alim3_12,0.0,0.0416987673343605,0.0,EXCLUIDA_NO_EN_OLA1
probl_alim3_12cual,0.0,0.0107858243451463,0.0,EXCLUIDA_NO_EN_OLA1
despierto3_12,0.0,0.0416987673343605,0.0,EXCLUIDA_NO_EN_OLA1
probl_dormir3_12,0.0,0.0416987673343605,0.0,EXCLUIDA_NO_EN_OLA1
duerme3_12,0.0,0.0416987673343605,0.0,EXCLUIDA_NO_EN_OLA1
diarrea3_12,0.0,0.0416987673343605,0.0,EXCLUIDA_NO_EN_OLA1
escucha13_24,0.0,0.0468990755007704,0.0,EXCLUIDA_NO_EN_OLA1
llora13_24,0.0,0.0468990755007704,0.0,EXCLUIDA_NO_EN_OLA1
