columna,cobertura_ola1,cobertura_ola2,cobertura_ola3,clasificacion
cod_conf_12,0.0,0.05784061696658098,0.038157894736842106,EXCLUIDA_NO_EN_OLA1
frecuencia_problema12,0.0,0.2969151670951157,0.3078947368421053,EXCLUIDA_NO_EN_OLA1
n_hogares_12,0.0,0.05784061696658098,0.038157894736842106,EXCLUIDA_NO_EN_OLA1
anos_resolver_12,0.0,0.05784061696658098,0.038157894736842106,EXCLUIDA_NO_EN_OLA1
resolvio_con_12,0.0,0.037275064267352186,0.017105263157894738,EXCLUIDA_NO_EN_OLA1
cod_conf_13,0.0,0.002570694087403599,0.003947368421052632,EXCLUIDA_CASI_VACIA
frecuencia_problema13,0.0,0.2969151670951157,0.3078947368421053,EXCLUIDA_NO_EN_OLA1
n_hogares_13,0.0,0.002570694087403599,0.003947368421052632,EXCLUIDA_CASI_VACIA
anos_resolver_13,0.0,0.002570694087403599,0.003947368421052632,EXCLUIDA_CASI_VACIA
resolvio_con_13,0.0,0.0,0.0013157894736842105,EXCLUIDA_CASI_VACIA
cod_conf_14,0.0,0.0012853470437017994,0.0013157894736842105,EXCLUIDA_CASI_VACIA
frecuencia_problema14,0.0,0.2969151670951157,0.3078947368421053,EXCLUIDA_NO_EN_OLA1
n_hogares_14,0.0,0.0012853470437017994,0.0013157894736842105,EXCLUIDA_CASI_VACIA
anos_resolver_14,0.0,0.0012853470437017994,0.0013157894736842105,EXCLUIDA_CASI_VACIA
resolvio_con_14,0.0,0.0012853470437017994,0.0013157894736842105,EXCLUIDA_CASI_VACIA
cod_conf_15,0.0,0.002570694087403599,0.0013157894736842105,EXCLUIDA_CASI_VACIA
frecuencia_problema15,0.0,0.2969151670951157,0.3078947368421053,EXCLUIDA_NO_EN_OLA1
n_hogares_15,0.0,0.002570694087403599,0.0013157894736842105,EXCLUIDA_CASI_VACIA
anos_resolver_15,0.0,0.002570694087403599,0.0013157894736842105,EXCLUIDA_CASI_VACIA
resolvio_con_15,0.0,0.0012853470437017994,0.0,EXCLUIDA_CASI_VACIA
cod_conf_16,0.0,0.0012853470437017994,0.0013157894736842105,EXCLUIDA_CASI_VACIA
frecuencia_problema16,0.0,0.2969151670951157,0.3078947368421053,EXCLUIDA_NO_EN_OLA1
n_hogares_16,0.0,0.0012853470437017994,0.0013157894736842105,EXCLUIDA_CASI_VACIA
anos_resolver_16,0.0,0.0012853470437017994,0.0013157894736842105,EXCLUIDA_CASI_VACIA
resolvio_con_16,0.0,0.0,0.0,EXCLUIDA_CASI_VACIA
cod_conf_17,0.0,0.0,0.0013157894736842105,EXCLUIDA_CASI_VACIA
frecuencia_problema17,0.0,0.2969151670951157,0.3078947368421053,EXCLUIDA_NO_EN_OLA1
n_hogares_17,0.0,0.0,0.0013157894736842105,EXCLUIDA_CASI_VACIA
anos_resolver_17,0.0,0.0,0.0013157894736842105,EXCLUIDA_CASI_VACIA
resolvio_con_17,0.0,0.0,0.0,EXCLUIDA_CASI_VACIA
cod_conf_18,0.0,0.0012853470437017994,0.0,EXCLUIDA_CASI_VACIA
frecuencia_problema18,0.0,0.2969151670951157,0.3078947368421053,EXCLUIDA_NO_EN_OLA1
n_hogares_18,0.0,0.0012853470437017994,0.0,EXCLUIDA_CASI_VACIA
anos_resolver_18,0.0,0.0012853470437017994,0.0,EXCLUIDA_CASI_VACIA
pp_faltacap,0.0,0.2969151670951157,0.3078947368421053,EXCLUIDA_NO_EN_OLA1
btol_ano,0.0,0.2802056555269923,0.27631578947368424,EXCLUIDA_NO_EN_OLA1
nhan_ido,0.0,0.0038560411311053984,0.0,EXCLUIDA_CASI_VACIA
hay_cultilicitos,0.0,0.2969151670951157,0.3078947368421053,EXCLUIDA_NO_EN_OLA1
hay_minerilegal,0.0,0.2969151670951157,0.3078947368421053,EXCLUIDA_NO_EN_OLA1
otra_acc_conflict,0.0,0.015424164524421594,0.003947368421052632,EXCLUIDA_NO_EN_OLA1
vendavales,0.0,0.2969151670951157,0.3078947368421053,EXCLUIDA_NO_EN_OLA1
clfq_otro,0.0,0.016709511568123392,0.019736842105263157,EXCLUIDA_NO_EN_OLA1
formal_vivienda,0.0,0.0,0.3078947368421053,EXCLUIDA_SOLO_OLA3
org_socomun,0.0,0.0,0.3078947368421053,EXCLUIDA_SOLO_OLA3
fb_socomun,0.0,0.0,0.07105263157894737,EXCLUIDA_SOLO_OLA3
org_jov_muj,0.0,0.0,0.3078947368421053,EXCLUIDA_SOLO_OLA3
fb_jov_muj,0.0,0.0,0.03684210526315789,EXCLUIDA_SOLO_OLA3
org_der_humanos,0.0,0.0,0.3078947368421053,EXCLUIDA_SOLO_OLA3
fb_der_humanos,0.0,0.0,0.0,EXCLUIDA_CASI_VACIA
